Experiment 5:
The height h of an object of mass 1kg at time t. The object was thrown vertically upwards with an speed of 5.0 m/s from the surface of the planet.

t (seconds),h (meters)
0.000,0.000
1.000,4.530
2.000,8.222
3.000,11.191
4.000,13.520
5.000,15.264
6.000,16.464
7.000,17.146
8.000,17.323
9.000,17.000
10.000,16.168
11.000,14.812
12.000,12.902
13.000,10.394
14.000,7.223
15.000,3.300
